Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R18,1k,R_0402_1005Metric,121.4598,-87.4932,90.0,top
R2,470,R_0402_1005Metric,129.3064,-123.5084,0.0,top
R25,20-100,R_0402_1005Metric,141.0686,-101.3108,90.0,top
R26,20-100,R_0402_1005Metric,142.0846,-101.3108,90.0,top
R27,56k,R_0402_1005Metric,151.9398,-75.9108,90.0,top
R28,10k,R_0402_1005Metric,151.9398,-73.9764,90.0,top
R29,20-100,R_0402_1005Metric,143.0752,-101.3108,90.0,top
R3,10K,R_0402_1005Metric,134.1598,-91.4262,-90.0,top
R30,20-100,R_0402_1005Metric,144.0912,-101.3108,90.0,top
R31,50,R_0402_1005Metric,141.2424,-114.0388,0.0,top
R32,50,R_0402_1005Metric,141.249382,-113.031132,0.0,top
R33,50,R_0402_1005Metric,141.2404,-112.0322,0.0,top
R34,50,R_0402_1005Metric,141.2404,-111.0416,0.0,top
R36,470,R_0402_1005Metric,149.605,-103.29,0.0,top
R37,470,R_0402_1005Metric,149.605,-104.306,0.0,top
R38,470,R_0402_1005Metric,147.1646,-103.795293,-90.0,top
R4,470,R_0402_1005Metric,122.4758,-87.4892,-90.0,top
R5,1k,R_0402_1005Metric,130.1974,-88.3528,-90.0,top
R6,499R,R_0402_1005Metric,133.22,-123.866,90.0,top
R7,499R,R_0402_1005Metric,129.3064,-121.4764,0.0,top
R8,0,R_0603_1608Metric,129.5878,-92.1018,90.0,top
RXD_1_R1,ORANGE_LED,R_0402_1005Metric,152.014,-104.306,180.0,top
TXD_1_R1,GREEN_LED,R_0402_1005Metric,152.014,-103.29,180.0,top
TXLED1,GREEN_LED,R_0402_1005Metric,129.3064,-122.4924,0.0,top
U1,ESP32-S3,QFN40P700X700X90-57N,142.45,-95.96,90.0,top
U11,SC4215ASTRT,SOIC127P599X175-9N,147.6598,-75.9046,0.0,top
U12,SKY66112-11,SKY66112-11_SKY,146.566999,-122.4162,0.0,top
U2,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,125.8286,-90.336,-90.0,top
U3,LM66200DRLR,SOTFL50P160X60-8N,129.4222,-81.6662,0.0,top
U4,MAX77827AEFD+T,CONV_MAX77827AEFD+T,129.4002,-76.763274,0.0,top
U5,SC4215ASTRT,SOIC127P599X175-9N,138.049,-77.978,-90.0,top
UART1,UART,Molex_Nano-Fit_105313-xx03_1x03_P2.50mm_Horizontal,123.1682,-121.451,180.0,top
UART2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,127.5558,-128.0296,90.0,top
USBLED1,WHITE_LED,R_0402_1005Metric,154.725,-92.24,90.0,top
VCC_SX1,0,R_0603_1608Metric,135.0234,-106.6682,180.0,top
Y1,R940000171,Crystal_SMD_2016-4Pin_2.0x1.6mm,134.599,-96.61,90.0,top
Y3,C3034316,Crystal_SMD_2016-4Pin_2.0x1.6mm,150.614534,-109.461083,-135.0,top
